正字,異體字
婦,妇媍
婪,
婷,
婿,壻聟
媒,
媚,
媛,
媲,
媳,
媼,媪
媽,妈
媾,
嫁,
嫂,
嫉,𡜱
嫋,裊袅嬝
嫌,
嫖,
嫗,妪
嫘,
嫡,
嫣,
嫦,
嫩,媆𡞾
嫵,妩娬
嫺,嫻娴
嬉,
嬋,婵
嬌,娇撟
嬝,嫋袅裊
嬤,嬷
嬪,嫔𡣕
嬰,婴孾
嬴,
嬸,婶
孀,霜
孃,娘嬢
子,
孑,
孓,
孔,
孕,
字,
存,
孚,孵
孜,
孝,
孟,
季,
孤,
孩,
孫,孙
孰,
孱,
孳,孶
孵,孚
學,学斈
孺,
孽,孼
孿,孪
它,佗牠
宅,
宇,
守,
安,
宋,
完,烟煙
宏,
宗,
官,
宙,
定,
宛,
宜,冝宐
客,
宣,
室,
宥,
宦,
宮,宫
宰,
害,
宴,讌
宵,
家,傢
宸,
容,
宿,㝛
寀,采
寂,
寄,
寅,
密,宻
寇,冦宼
富,冨
寐,
寒,
寓,庽
寞,
察,詧
寡,關
寢,寝
寤,
寥,
實,实実寔
寧,宁寍寕寜𡨴
寨,砦
審,审
寫,写冩
寬,宽寛
寮,
寵,宠𠖥
寶,宝寳
寸,
寺,
封,
射,
將,将𤕭
專,专専耑
尉,
尊,
尋,寻
對,对対
導,导
小,
少,
尖,
尙,尚
尚,尙
尤,
尬,
就,
尷,尴尲
尸,屍
尹,
尺,
尻,䯌
尼,
尾,
尿,溺脲
局,侷
屁,
居,㞐
屆,届
屈,
屋,
屍,尸
屎,
屏,屛摒
屐,
屑,
展,
屛,屏摒
屜,屉𡲕
屠,
屢,屡
層,层層
履,
屬,属𡱆
屯,
山,
屹,
岌,
岐,歧
岑,
岔,
岡,冈
岩,巖巌
岫,峀
岬,
岱,
岳,嶽
岷,
岸,
峙,
峠,
峨,峩
峪,
峭,陗
峯,峰
島,岛嶋嶌㠀
峻,
峽,峡
崁,
崆,
崇,崈
崎,埼嵜碕
崑,昆崐
崔,磪
崖,厓崕
崗,岗
崙,仑𪨧侖崘
崛,
崢,峥
崩,
嵌,
嵐,岚
嵩,崧
嶄,崭巉
嶇,岖㠊
嶝,磴
嶺,岭
嶼,屿
嶽,岳
巍,魏
巒,峦
巔,巅巓
巖,岩巌
川,巛
州,
巡,廵
巢,巣
工,
左,
巧,
巨,鉅钜
巫,
差,
己,
已,巳
巳,已
巴,笆芭
巷,
巽,巺
巾,
市,
布,佈
帆,㠶
希,
帑,
帕,
帖,
帘,簾
帚,箒菷
帛,
帝,
帥,帅
師,师
席,蓆
帳,帐賬账
帶,带帯
帷,
常,
帽,
幀,帧
幅,
幌,
幔,
幕,幙
幗,帼
幛,
幟,帜旘
幢,橦
幣,币幤
幫,帮幇幚
干,乾幹
平,
年,
并,並併幷
幸,倖
幹,干
幺,么
幻,
幼,
幽,凼
幾,几
广,廣
庇,
序,
底,㡳
庖,
店,坫
庚,
府,
庠,
度,
座,坐
庫,库
庭,
庵,菴
庶,庻
康,
庸,㐯𠆌
庾,斞
廁,厕厠
廂,厢
廈,厦
廉,亷
廊,廊
廓,
廕,荫蔭
廖,
廚,厨
廝,厮㒋
廟,庙庿
廠,厂厰
廢,废廃
廣,广広
廬,庐𪪏
廳,厅庁厛廰
延,
廷,
建,
廿,卄廾
弁,瓣辧辨辯
弄,
弈,奕
弊,𡚁
式,
弒,弑
弓,
弔,吊
引,
弗,
弘,
弛,
弟,
弦,絃
弧,
弩,
弭,
弱,
張,张
強,强彊
弼,
彆,别
彈,弹弾
彌,弥瀰𢏏
彎,弯
彔,录
彗,篲
彙,汇彚
彝,彛彜彞
彞,彝
形,
彤,
彥,彦
彩,綵
彪,
彫,雕㓮
彬,份斌
彭,
彰,
影,
彷,仿徬髣
役,
彼,
彿,佛髴
往,徃
征,徵
待,
徇,
很,
徊,
律,
後,后
徐,
徑,径俓迳逕
徒,𨑒
得,
徘,
徙,
從,从従
御,禦馭
徨,遑
復,复複覆
循,
徬,彷
微,
徵,征徴
德,徳悳惪
徹,彻澈
徽,
心,㣺忄
必,
忌,
忍,㣼
忖,
志,誌
忘,
忙,
忝,
忠,
快,
忱,
念,唸
忽,
忿,
怎,
怏,
怒,
